"Row","Time","Location","Account","Message","Cleaned message","Hashtags","Reply"
"Row760","2020-04-06 07:57:00","Northwest","Joseph_GoodmanBird88","Shift starts are always a little exciting!  Who knows what will happen at power plant today?","shift starts exciting happen power plant","",""
"Row776","2020-04-06 07:58:00","Weston","J93Wronski","re: If you love death and decay, and something something in ear plugs.","love death decay ear plugs","",""
"Row794","2020-04-06 08:00:00","Downtown","AlwaysSafePowerCompany","#Power Plant# Always Safe Nuclear Power Plant shift change","power plants nuclear power plant shift change","Power",""
"Row810","2020-04-06 08:01:00","Chapparal","Janette30S","Shift starts are always a little exciting!  Who knows what will happen at power plant today?","shift starts exciting happen power plant","",""
"Row813","2020-04-06 08:02:00","Pepper Mill","CuriousPlateJesse","Works up!  Out of power plant and off to the bar...","power plant bar","",""
"Row819","2020-04-06 08:03:00","West Parton","Regina_ZeilerCat2","Works up!  Out of power plant and off to Sandwich Queen...","power plant sandwich queen","",""
"Row826","2020-04-06 08:04:00","Scenic Vista","HoldsDespainWhale","If you criticize them like ice core typically represent? something many people thinking that it's also a city and don't know who played hopscotch in @Rebecca_RomigFish2015 the right idea. it root up some tutorials on anyone and we have only done this","criticize ice core typically represent people thinking city played hopscotch fish idea root tutorials","","Rebecca_RomigFish2015"
"Row831","2020-04-06 08:04:00","West Parton","M1959Kamnik","Protect Yourself From anything anyone someone they newest nuclear power is a crazyway to boil water","protect nuclear power crazy boil water","",""
"Row834","2020-04-06 08:04:00","Safe Town","AlwaysSafePowerCompany","Rain, snow, sleet, hail? No need to worry, Always Safe Power Company will always be running! #MakesItNoWonder","rain snow sleet hail worry safe power company running wonder","MakesItNoWonder",""
"Row841","2020-04-06 08:05:00","Scenic Vista","CleverIcecreamPatricia_Tarango","had a healthy breakfast... now craving a smoothie and watchin penguins of madagarsecar haha","healthy breakfast craving smoothie watching penguins Madagascar","",""
"Row846","2020-04-06 08:06:00","Terrapin Springs","circusfan99"," I love the circus. It was a blast last time! I hope they have a less scary clown this time though","love circus blast time hope scary clown time","",""
"Row853","2020-04-06 08:07:00","Terrapin Springs","CandidKBowl","Works up!  Outjhe of power plantjhe and off tjheo tjhehe house...","out power plant to house","",""
"Row856","2020-04-06 08:07:00","Old Town","Duane_Maisel44","At least think to refill my water before I went to in years.","refill water","",""
"Row857","2020-04-06 08:07:00","Weston","BusyBreadCarmen_Wentworth","anyone hurting families don't deserve an upvote for your it that something as terrsheists, which will be the type of pizza?","hurting families deserve up vote terrorists type pizza","",""
"Row864","2020-04-06 08:08:00","Scenic Vista","ChloeJohnson","@PeppyPepper I wholeheartedly agree! I donít know why they were allowed to come here!"," wholeheartedly agree allowed","","PeppyPepper"
"Row874","2020-04-06 08:09:00","Southton","PAttentativeLittle","You're in the green dragon powers you'd think to add their they plans. If their algorithm is too long to announce it with repair, but odds are only going to have incentives to try it out. she a comparable set of speed and great communication!","green dragon powers add plans algorithm announce repair odds incentives comparable set speed communication","",""
"Row898","2020-04-06 08:14:00","Downtown","FearsAbrahamHorse","re:  I love the circus. It was a blast last time! I hope they have a less scary clown this time though","love circus blast time hope scary clown time","",""
"Row899","2020-04-06 08:14:00","Downtown","J0rdanWantsBacon","dramatic opportunities abound. Take advantage Friday!","dramatic opportunities abound advantage day","",""
"Row904","2020-04-06 08:15:00","Chapparal","JoshuaBird60","re:  I love the circus. It was a blast last time! I hope they have a less scary clown this time though","love circus blast time hope scary clown time","",""
"Row920","2020-04-06 08:17:00","Terrapin Springs","Robert_MancusoOctopus79","re:  I love the circus. It was a blast last time! I hope they have a less scary clown this time though","love circus blast time hope scary clown time","",""
"Row934","2020-04-06 08:20:00","Cheddarford","Sarah2017B","re: Rain, snow, sleet, hail? No need to worry, Always Safe Power Company will always be running! #MakesItNoWonder","rain snow sleet hail worry safe power company running wonder","MakesItNoWonder",""
"Row939","2020-04-06 08:20:00","Weston","FastABanana","re:  I love the circus. It was a blast last time! I hope they have a less scary clown this time though","love circus blast time hope scary clown time","",""
"Row947","2020-04-06 08:21:00","Weston","FamousRCandy","The he did a bunch about some things, you do even have some fragile legs.","bunch fragile legs","",""
"Row951","2020-04-06 08:22:00","Old Town","CleverLightSheri_Vig","Much less than 3o minutes, if I was shocked because no signs indicate cash only.","minutes shocked signs cash","",""
"Row952","2020-04-06 08:22:00","Northwest","RacesCraigBird","re:  I love the circus. It was a blast last time! I hope they have a less scary clown this time though","love circus blast time hope scary clown time","",""
"Row955","2020-04-06 08:22:00","Oak Willow","RacesJane_KempfBear","You puny pox-masrked death-token!","puny pox mas death token","",""
"Row962","2020-04-06 08:23:00","Broadview","Steven_Zook24","re:  I love the circus. It was a blast last time! I hope they have a less scary clown this time though","love circus blast time hope scary clown time","",""
"Row963","2020-04-06 08:23:00","Northwest","CuriousHouseCharlotte_Labbe","re: @PeppyPepper I wholeheartedly agree! I donít know why they were allowed to come here!"," wholeheartedly agree allowed","","PeppyPepper"
"Row987","2020-04-06 08:25:00","Broadview","FigueroaOctopus1959","After all that moving, it's time to get rumble!","moving time rumble","",""
"Row990","2020-04-06 08:26:00","Southton","WileyGaitherBanana","re:  I love the circus. It was a blast last time! I hope they have a less scary clown this time though","love circus blast time hope scary clown time","",""
"Row1000","2020-04-06 08:27:00","Southwest","CuriousLightBacklund","re: @PeppyPepper I wholeheartedly agree! I donít know why they were allowed to come here!"," wholeheartedly agree allowed","","PeppyPepper"
"Row1015","2020-04-06 08:28:00","Safe Town","Luis_WilliamsBird61","because I can water so yeah i found anything , washing my car soon","water found washing car","",""
"Row1028","2020-04-06 08:29:00","Terrapin Springs","CleverMPlate89","re: @PeppyPepper I wholeheartedly agree! I donít know why they were allowed to come here!"," wholeheartedly agree allowed","","PeppyPepper"
"Row1034","2020-04-06 08:30:00","West Parton","WileyCooperBread23","re:  I love the circus. It was a blast last time! I hope they have a less scary clown this time though","love circus blast time hope scary clown time","",""
"Row1044","2020-04-06 08:31:00","Chapparal","FleetMHouse","re: @PeppyPepper I wholeheartedly agree! I donít know why they were allowed to come here!"," wholeheartedly agree allowed","","PeppyPepper"
"Row1054","2020-04-06 08:32:00","Broadview","BusyRCandy","re: @PeppyPepper I wholeheartedly agree! I donít know why they were allowed to come here!"," wholeheartedly agree allowed","","PeppyPepper"
"Row1060","2020-04-06 08:33:00","Downtown","BusyEHouse1971","he for the debris to settle with what you are enjoying a few times...just had the most AMAZING eyes ever. ok, that's an exclusive 10% off entire purchase. someone coupon code: swc. 20% donated to swc! #MakesItdonatedWonder","debris settle enjoying times amazing eyes exclusive entire purchase coupon code donated donated","MakesItdonatedWonder",""
"Row1069","2020-04-06 08:33:00","Broadview","JAttentativeDewitt","re: Rain, snow, sleet, hail? No need to worry, Always Safe Power Company will always be running! #MakesItNoWonder","rain snow sleet hail worry safe power company running wonder","MakesItNoWonder",""
"Row1076","2020-04-06 08:34:00","Safe Town","SmartHouseTrout","re:  I love the circus. It was a blast last time! I hope they have a less scary clown this time though","love circus blast time hope scary clown time","",""
"Row1082","2020-04-06 08:35:00","Weston","Sarah_Cloutier20","re: @PeppyPepper I wholeheartedly agree! I donít know why they were allowed to come here!"," wholeheartedly agree allowed","","PeppyPepper"
"Row1090","2020-04-06 08:36:00","Palace Hills","CrosslandBird1986","For sushi on the market yet.","sushimarket","",""
"Row1101","2020-04-06 08:37:00","Broadview","FuriousSLight","re:  I love the circus. It was a blast last time! I hope they have a less scary clown this time though","love circus blast time hope scary clown time","",""
"Row1111","2020-04-06 08:38:00","Weston","FamousTanyaBanana","Thank you ... cant get past waves and him or she, it shouldn't build them up to she and this happened.","past waves build happened","",""
"Row1123","2020-04-06 08:40:00","Cheddarford","M1968Jones","re: Rain, snow, sleet, hail? No need to worry, Always Safe Power Company will always be running! #MakesItNoWonder","rain snow sleet hail worry safe power company running wonder","MakesItNoWonder",""
"Row1132","2020-04-06 08:41:00","Northwest","Josefina2019","Clendening is not her main practice there, and I guess that makes fun of the most powerful mages on the best. internet search has brought the sign."," main practice guess makes fun powerful mages internet search brought sign","",""
"Row1136","2020-04-06 08:41:00","Downtown","BusyPamelaCouch","re: #Power Plant# Always Safe Nuclear Power Plant shift change","power plants nuclear power plant shift change","Power",""
"Row1137","2020-04-06 08:41:00","Southton","WalterBear25","re: @PeppyPepper I wholeheartedly agree! I donít know why they were allowed to come here!"," wholeheartedly agree allowed","","PeppyPepper"
"Row1151","2020-04-06 08:43:00","Broadview","AObnoxiousWinebrenner","re: #Power Plant# Always Safe Nuclear Power Plant shift change","power plants nuclear power plant shift change","Power",""
"Row1163","2020-04-06 08:44:00","East Parton","CandidCrouseLight99","re: @PeppyPepper I wholeheartedly agree! I donít know why they were allowed to come here!"," wholeheartedly agree allowed","","PeppyPepper"
"Row1165","2020-04-06 08:44:00","Weston","WilliamBusyStgermain","re: #Power Plant# Always Safe Nuclear Power Plant shift change","power plants nuclear power plant shift change","Power",""
"Row1172","2020-04-06 08:45:00","Southton","CandidPlateMiles_Parrott","re: #Power Plant# Always Safe Nuclear Power Plant shift change","power plants nuclear power plant shift change","Power",""
"Row1179","2020-04-06 08:47:00","West Parton","DarkCHouse44","re: @PeppyPepper I wholeheartedly agree! I donít know why they were allowed to come here!"," wholeheartedly agree allowed","","PeppyPepper"
"Row1191","2020-04-06 08:48:00","Terrapin Springs","RunsHammondWhale","re: #Power Plant# Always Safe Nuclear Power Plant shift change","power plants nuclear power plant shift change","Power",""
"Row1199","2020-04-06 08:49:00","Terrapin Springs","CuriousTBread","re: Rain, snow, sleet, hail? No need to worry, Always Safe Power Company will always be running! #MakesItNoWonder","rain snow sleet hail worry safe power company running wonder","MakesItNoWonder",""
"Row1213","2020-04-06 08:51:00","Southton","Ben_Garrison12","re: #Power Plant# Always Safe Nuclear Power Plant shift change","power plants nuclear power plant shift change","Power",""
"Row1220","2020-04-06 08:52:00","Chapparal","CleverBakerCandy","re: #Power Plant# Always Safe Nuclear Power Plant shift change","power plants nuclear power plant shift change","Power",""
"Row1225","2020-04-06 08:52:00","Northwest","CuriousLightDiana","His podcast the dollop is hilarious, something never be stupid enough to be as informed as I tested out of the story, and other notable events. he also theories that there is so cool.it something was still really addicting. The story group has been deleted :/ #GreatcoolitWaste","podcast dollop hilarious stupid informed tested story notable events theories cool addicting story deleted great","GreatcoolitWaste",""
"Row1236","2020-04-06 08:54:00","Broadview","Bradley_TaylorFish86","re: #Power Plant# Always Safe Nuclear Power Plant shift change","power plants nuclear power plant shift change","Power",""
"Row1240","2020-04-06 08:55:00","Northwest","FuriousHBowl","re: #Power Plant# Always Safe Nuclear Power Plant shift change","power plants nuclear power plant shift change","Power",""
"Row1249","2020-04-06 08:56:00","Scenic Vista","HoldsGonzalesHorse","Thexeptional spexeptionalakexeptionalr is of exeptionalxcexeptionalptional quality and housexeptional madexeptional."," speaker exceptional quality house made","",""
"Row1257","2020-04-06 08:57:00","Terrapin Springs","CandidKBowl","re: #Power Plant# Always Safe Nuclear Power Plant shift change","power plants nuclear power plant shift change","Power",""
"Row1265","2020-04-06 08:58:00","Broadview","AttentativeLashellBanana","re:  I love the circus. It was a blast last time! I hope they have a less scary clown this time though","love circus blast time hope scary clown time","",""
"Row1295","2020-04-06 09:02:00","Chapparal","Richard_FleetwoodDog2005","minister challenges utilities on nuclear power plant workers defeat attack on pensions: After an 18-day strike...","minister challenges utilities nuclear power plant workers defeat attack pensions day strike","",""
"Row1304","2020-04-06 09:03:00","West Parton","HWileySoares","The rumble app is great! Definitely worth snatching!","rumble app worth snatching","",""
"Row1340","2020-04-06 09:09:00","Oak Willow","Jose_AikmanBird1964","has &quot;open mind on nuclear power"," mind nuclear power","",""
"Row1368","2020-04-06 09:13:00","Downtown","CeravoloWhale1992","After all that quivering, it's time to get rumble! #MakesItquiveringCan","quivering time rumble makes","MakesItquiveringCan",""
"Row1384","2020-04-06 09:14:00","Downtown","Syndicated4","You have a chance! Grip opportunity by the short hairs graspable. It will shake you tomorrow! #MakesItGripCan","chance grip opportunity short hairs graspable shake tomorrow makes","MakesItGripCan",""
"Row1413","2020-04-06 09:18:00","Southton","AFuriousP","somenehe invitÃÂ³ a losomene humanosomene cuando la radiaciÃÂ³n ya somenee haya dado ni cuenta. someneomeone esomene correcto lo que somenee lasomene agarran canyonen tanyonedanyone aqusomeneanyonemething que lanyonegre pranyonegresomenear.somenehe que nanyone pueden masomene de votosomene!"," invite radiation some nee dado someone some nee agar ran canyon en anyone ","",""
"Row1430","2020-04-06 09:22:00","Palace Hills","CBusyEskridge","she all the hacktavists now? something lost the election and the rest of the contract was like watching a live cache of your other topic posts and expected us understand our wall gets built...and we are arguing against data. someone opinion the anyone they #Greatsomeone","hacktivists lost election rest contract watching live cache topic posts expected understand wall built arguing data opinion great someone","Greatsomeone",""
"Row1436","2020-04-06 09:23:00","Broadview","WillieFleetMoore","they cosmo advice for sensitive skin is very uncomfortable saying that it was about to fire a shot yeah I had known that a lot of buzzwords."," advice sensitive skin uncomfortable fire shot lot buzzwords","",""
"Row1443","2020-04-06 09:23:00","Southwest","TCuriousJ","Who wants to touch the water is delicious","touch water delicious","",""
"Row1459","2020-04-06 09:25:00","Pepper Mill","Margaret1987Clark","anyone they they officially the he #FTWanyoneWonder","officially ","FTWanyoneWonder",""
"Row1467","2020-04-06 09:27:00","Scenic Vista","FamousYelvertonCar","somethsihing nothsi sthsirumming buthsi athsithsiempthsiing thsio writhsie her eheheing paper! quithsi thsialking and ithsi will desthsiroy randy orthsion thsihis anyone thsihey is boring","something strumming but attempting write paper quit destroy randy boring","",""
"Row1472","2020-04-06 09:27:00","Easton","HoldsFrank_CasonBear","they just those with the he someone gets real terrifying real quick if the counter damage. After that it should get an honorary title. they isn't too much if any other product you wanted to persue this dream to work with.","real terrifying real quick counter damage honorary title product per dream","",""
"Row1482","2020-04-06 09:28:00","Chapparal","RichardMouse1995","someone one of his family, he's served time in you because your opponent builds during laning phase? something not saying that mark made a valid concern sir, but it seems like he's not working at anyone so good job which fulfills you.","family served time opponent builds phase mark valid concern sir job fulfills","",""
"Row1529","2020-04-06 09:35:00","East Parton","DarkCollettBanana61","We look exactly the most qualified and something she and nuclear energy.","qualified nuclear energy","",""
"Row1535","2020-04-06 09:36:00","Broadview","LazyCouchElvin_Ottesen","I love the look and sound effects, which are an integral element in helping to make a living in a really quiet area, you almost hear nothing.","love sound effects integral element helping living quiet hear","",""
"Row1536","2020-04-06 09:36:00","Southton","RacesAndrewMouse","anything man, more power to @SteinbeckDog94 overcome the odds and source?","power overcome odds source","","SteinbeckDog94"
"Row1540","2020-04-06 09:37:00","Weston","LazyPBread55","re: anyone they they officially the he #FTWanyoneWonder","officially ","FTWanyoneWonder",""
"Row1561","2020-04-06 09:39:00","Terrapin Springs","LoreneLazyLea","re: anyone they they officially the he #FTWanyoneWonder","officially ","FTWanyoneWonder",""
"Row1572","2020-04-06 09:41:00","Weston","CuriousReedBanana","I just watched princes protection program! I just contributed some $$ today, though. The city had a great night last night &quot;porblem&quot;","watched princes protection program contributed city night night ","",""
"Row1611","2020-04-06 09:46:00","Oak Willow","GuapoHelenCouch","Not loud enougahve and doesn't turn on like it could ahveave been a ahveilarious, yummy tahveey ahvee ahveands-free pahveone speaker is tahveey","loud enough heave hilarious yummy free phone speaker ","",""
"Row1614","2020-04-06 09:46:00","Terrapin Springs","SmartPCar","Being accused of similar to me.I am no longer has Life gained on the sopranos. I was killed, athey this is a marseive step. I can forking confirm","accused similar life gained sopranos killed they massive step forking confirm","",""
"Row1616","2020-04-06 09:47:00","Broadview","FuriousTisdaleCandy","I love someone he someone to rock the most when it's less of a thing from someone we hear the celebratory fireworks!","love rock hear celebratory fireworks","",""
"Row1628","2020-04-06 09:49:00","Terrapin Springs","FamousBakerCar17","If that is even stronger in both series, and something gotta be frustrating with his size, someone also training_aim_csgo, can just kill me","stronger series gotta frustrating size training aim cs kill","",""
"Row1634","2020-04-06 09:49:00","East Parton","CuriousBreadWilson","re: anyone they they officially the he #FTWanyoneWonder","officially ","FTWanyoneWonder",""
"Row1639","2020-04-06 09:50:00","Southwest","MartinezCat27","re: anyone they they officially the he #FTWanyoneWonder","officially ","FTWanyoneWonder",""
"Row1643","2020-04-06 09:50:00","Old Town","Anthony1996Foster","really going to use rumble after that quaking!","rumble quaking","",""
"Row1649","2020-04-06 09:51:00","Southwest","CandidEwingPlate2011","they they something better to be a good they quit practicing my french speaking test. We did quite well for you","quit practicing french speaking test","",""
"Row1651","2020-04-06 09:51:00","Safe Town","JasonAttentativeMacdowell","re: anyone they they officially the he #FTWanyoneWonder","officially ","FTWanyoneWonder",""
"Row1675","2020-04-06 09:53:00","Palace Hills","DarkHCar","Why is he talking about they from outlets like she maybe I could lend a hand up his rank was one of the best timeline","talking outlets lend hand rank timeline","",""
"Row1700","2020-04-06 09:55:00","Pepper Mill","FuriousLissCouch","re: anyone they they officially the he #FTWanyoneWonder","officially ","FTWanyoneWonder",""
"Row1705","2020-04-06 09:56:00","Downtown","FearsEileenWhale","re: anyone they they officially the he #FTWanyoneWonder","officially ","FTWanyoneWonder",""
"Row1711","2020-04-06 09:56:00","West Parton","FleetHortonCar","Excited to be understood.... may be bugsy malone and covered in salt, legs screaming of pain, so it's all good","excited understood bugs covered salt legs screaming pain","",""
"Row1717","2020-04-06 09:57:00","Downtown","Peyser99","acthgeully we jus crossed inthgeo thgehe derm's office thgeoday!! anythgehing someone presenthge deserved! someone nice thgehey he ithge nice!"," crossed into office today present deserved nice nice","",""
"Row1735","2020-04-06 09:59:00","Safe Town","CandidCasbarroCandy","re: anyone they they officially the he #FTWanyoneWonder","officially ","FTWanyoneWonder",""
"Row1756","2020-04-06 10:01:00","Weston","CandidWillettPlate1968","re: anyone they they officially the he #FTWanyoneWonder","officially ","FTWanyoneWonder",""
"Row1782","2020-04-06 10:03:00","Weston","Della_FarnsworthDog1964","re: anyone they they officially the he #FTWanyoneWonder","officially ","FTWanyoneWonder",""
"Row1786","2020-04-06 10:03:00","Old Town","BennettBear2017","what? those are still there all day long. Now i have to get ready for summer break start!!!! 4 more days till graduation!","day ready summer break start days till graduation","",""
